symbol,date,pattern,signal_time,entry_time,entry,sl,tp,rr,exit_reason,pnl_r,exit_time
NAS100,2026-03-30,D_FIRST_PULLBACK,2026-03-30 01:00:00+00:00,2026-03-30 01:15:00+00:00,22969.03,22935.9,23035.29,2.0,TP_HIT,2.0,2026-03-30 02:00:00+00:00
NAS100,2026-03-30,D_FIRST_PULLBACK,2026-03-30 02:30:00+00:00,2026-03-30 02:45:00+00:00,23045.53,23002.78,23131.03,2.0,TP_HIT,2.0,2026-03-30 04:15:00+00:00
NAS100,2026-03-30,D_FIRST_PULLBACK,2026-03-30 05:00:00+00:00,2026-03-30 05:15:00+00:00,23144.28,23121.78,23189.28,2.0,TP_HIT,2.0,2026-03-30 06:15:00+00:00
NAS100,2026-03-30,D_FIRST_PULLBACK,2026-03-30 07:45:00+00:00,2026-03-30 08:00:00+00:00,23204.33,23167.33,23278.33,2.0,TP_HIT,2.0,2026-03-30 11:15:00+00:00
NAS100,2026-03-30,D_FIRST_PULLBACK,2026-03-30 12:15:00+00:00,2026-03-30 12:30:00+00:00,23308.08,23245.08,23434.08,2.0,SL_HIT,-1.0,2026-03-30 13:30:00+00:00
NAS100,2026-03-30,D_FIRST_PULLBACK,2026-03-30 14:45:00+00:00,2026-03-30 15:00:00+00:00,23185.45,23070.2,23415.95,2.0,SL_HIT,-1.0,2026-03-30 17:00:00+00:00
NAS100,2026-03-30,D_FIRST_PULLBACK,2026-03-30 19:30:00+00:00,2026-03-30 19:45:00+00:00,22887.08,22832.08,22997.08,2.0,EOD,0.0,2026-03-30 23:45:00+00:00
NAS100,2026-03-31,D_FIRST_PULLBACK,2026-03-31 02:15:00+00:00,2026-03-31 02:30:00+00:00,23157.47,23132.22,23207.97,2.0,TP_HIT,2.0,2026-03-31 02:45:00+00:00
NAS100,2026-03-31,D_FIRST_PULLBACK,2026-03-31 05:15:00+00:00,2026-03-31 05:30:00+00:00,23097.72,23043.72,23205.72,2.0,TP_HIT,2.0,2026-03-31 11:00:00+00:00
NAS100,2026-03-31,D_FIRST_PULLBACK,2026-03-31 12:30:00+00:00,2026-03-31 12:45:00+00:00,23230.27,23121.27,23448.27,2.0,TP_HIT,2.0,2026-03-31 16:30:00+00:00
NAS100,2026-03-31,D_FIRST_PULLBACK,2026-03-31 18:00:00+00:00,2026-03-31 18:15:00+00:00,23627.02,23557.02,23767.02,2.0,TP_HIT,2.0,2026-03-31 19:45:00+00:00
NAS100,2026-03-31,D_FIRST_PULLBACK,2026-03-31 20:15:00+00:00,2026-03-31 20:30:00+00:00,23751.72,23679.59,23895.98,2.0,EOD,0.0,2026-03-31 23:45:00+00:00
NAS100,2026-04-01,D_FIRST_PULLBACK,2026-04-01 00:45:00+00:00,2026-04-01 01:00:00+00:00,23846.66,23803.16,23933.66,2.0,SL_HIT,-1.0,2026-04-01 01:15:00+00:00
NAS100,2026-04-01,D_FIRST_PULLBACK,2026-04-01 04:30:00+00:00,2026-04-01 04:45:00+00:00,23818.54,23789.54,23876.54,2.0,TP_HIT,2.0,2026-04-01 05:15:00+00:00
NAS100,2026-04-01,D_FIRST_PULLBACK,2026-04-01 07:30:00+00:00,2026-04-01 07:45:00+00:00,23977.59,23942.21,24048.35,2.0,SL_HIT,-1.0,2026-04-01 08:00:00+00:00
NAS100,2026-04-01,D_FIRST_PULLBACK,2026-04-01 08:15:00+00:00,2026-04-01 08:30:00+00:00,23891.34,23844.71,23984.6,2.0,SL_HIT,-1.0,2026-04-01 08:45:00+00:00
NAS100,2026-04-01,D_FIRST_PULLBACK,2026-04-01 09:30:00+00:00,2026-04-01 09:45:00+00:00,23860.84,23814.71,23953.1,2.0,TP_HIT,2.0,2026-04-01 11:00:00+00:00
NAS100,2026-04-01,D_FIRST_PULLBACK,2026-04-01 13:15:00+00:00,2026-04-01 13:30:00+00:00,23899.84,23847.84,24003.84,2.0,TP_HIT,2.0,2026-04-01 14:15:00+00:00
NAS100,2026-04-01,D_FIRST_PULLBACK,2026-04-01 14:45:00+00:00,2026-04-01 15:00:00+00:00,24070.84,23942.46,24327.6,2.0,SL_HIT,-1.0,2026-04-01 18:30:00+00:00
NAS100,2026-04-01,D_FIRST_PULLBACK,2026-04-01 22:30:00+00:00,2026-04-01 22:45:00+00:00,24007.78,23981.53,24060.28,2.0,SL_HIT,-1.0,2026-04-01 23:00:00+00:00
NAS100,2026-04-02,D_FIRST_PULLBACK,2026-04-02 00:45:00+00:00,2026-04-02 01:00:00+00:00,24047.28,23966.03,24209.78,2.0,SL_HIT,-1.0,2026-04-02 01:15:00+00:00
NAS100,2026-04-02,D_FIRST_PULLBACK,2026-04-02 02:45:00+00:00,2026-04-02 03:00:00+00:00,23696.53,23668.16,23753.27,2.0,SL_HIT,-1.0,2026-04-02 03:30:00+00:00
NAS100,2026-04-02,D_FIRST_PULLBACK,2026-04-02 06:15:00+00:00,2026-04-02 06:30:00+00:00,23601.46,23563.83,23676.72,2.0,TP_HIT,2.0,2026-04-02 07:45:00+00:00
NAS100,2026-04-02,D_FIRST_PULLBACK,2026-04-02 08:30:00+00:00,2026-04-02 08:45:00+00:00,23658.08,23634.08,23706.08,2.0,SL_HIT,-1.0,2026-04-02 09:30:00+00:00
NAS100,2026-04-02,D_FIRST_PULLBACK,2026-04-02 10:30:00+00:00,2026-04-02 10:45:00+00:00,23617.71,23587.08,23678.97,2.0,SL_HIT,-1.0,2026-04-02 11:00:00+00:00
NAS100,2026-04-02,D_FIRST_PULLBACK,2026-04-02 12:15:00+00:00,2026-04-02 12:30:00+00:00,23538.33,23478.33,23658.33,2.0,TP_HIT,2.0,2026-04-02 13:45:00+00:00
NAS100,2026-04-02,D_FIRST_PULLBACK,2026-04-02 16:30:00+00:00,2026-04-02 16:45:00+00:00,23956.33,23869.58,24129.83,2.0,EOD,0.0,2026-04-02 23:45:00+00:00
NAS100,2026-04-03,D_FIRST_PULLBACK,2026-04-03 02:45:00+00:00,2026-04-03 03:00:00+00:00,23995.08,23965.7,24053.84,2.0,SL_HIT,-1.0,2026-04-03 06:30:00+00:00
